,athlete_age_mean
352,26.25
353,0.0
354,0.0
355,37.27272727272727
356,23.666666666666668
357,38.25
358,19.5
359,24.75
360,27.5
361,30.0
362,0.0
363,27.285714285714285
364,32.142857142857146
365,26.454545454545453
366,22.555555555555557
367,23.194444444444443
368,22.333333333333332
369,24.666666666666668
370,0.0
371,27.0
372,18.666666666666668
373,19.0
374,23.53846153846154
375,28.0
376,31.0
377,22.0
378,24.023809523809526
379,0.0
380,27.533333333333335
381,26.436781609195403
382,25.818181818181817
383,24.40625
384,26.285714285714285
385,27.2
386,25.875
387,23.266666666666666
388,22.4
389,21.666666666666668
390,36.166666666666664
391,23.0
392,25.82
393,25.916666666666668
394,25.806451612903224
395,25.4
396,25.0
397,28.6
398,28.0
399,25.25
400,29.4
401,25.357142857142858
402,27.75
403,28.0
404,43.5
405,0.0
406,22.666666666666668
407,24.5
408,26.0
409,0.0
410,34.0
411,24.083333333333332
412,32.0
413,20.0
414,19.0
415,26.0
416,25.03448275862069
417,25.47872340425532
418,24.215686274509803
419,24.417910447761194
420,25.6
421,25.724137931034484
422,24.5
423,23.428571428571427
424,22.775510204081634
425,24.22222222222222
426,26.17283950617284
427,25.703703703703702
428,27.1875
429,21.536912751677853
430,25.692307692307693
431,25.347826086956523
432,25.0625
433,27.81081081081081
434,23.88888888888889
435,24.23076923076923
436,25.6
437,22.0
438,25.0
439,32.0
440,23.0
441,27.73469387755102
442,35.23076923076923
443,26.571428571428573
444,23.0
445,30.22222222222222
446,24.75
447,26.0
448,24.666666666666668
449,30.0
450,23.9
451,36.0
452,22.0
453,21.8
454,21.9
455,24.0
456,22.0
457,27.0
458,20.5
459,23.0
460,26.166666666666668
461,26.344827586206897
462,24.428571428571427
463,23.31081081081081
464,25.876777251184834
465,26.225
466,24.6
467,29.0
468,26.177083333333332
469,25.0
470,24.625
471,26.20689655172414
472,25.863636363636363
473,28.333333333333332
474,26.17391304347826
475,25.234567901234566
476,25.733333333333334
477,24.8
478,29.0
479,24.0
480,24.727272727272727
481,28.0
482,28.0
483,25.0
484,28.238095238095237
485,22.81935483870968
486,25.625
487,21.0
488,23.0
489,24.428571428571427
490,28.0
491,24.0
492,21.666666666666668
493,22.65
494,22.2
495,26.833333333333332
496,21.59090909090909
497,23.5
498,34.0
499,34.0
500,22.5
501,25.0
502,24.0
503,18.0
504,26.037037037037038
505,26.25
506,25.490909090909092
507,22.41176470588235
508,25.548387096774192
509,22.875
510,22.529032258064515
511,23.75
512,24.326315789473686
513,22.59375
514,25.24390243902439
515,25.75
516,25.753424657534246
517,24.384615384615383
518,27.4
519,25.6
520,23.157894736842106
521,29.5
522,26.9
523,28.333333333333332
524,22.70909090909091
525,29.5
526,26.0
527,34.0
528,25.0
529,23.666666666666668
530,28.1
531,27.0
532,32.0
533,29.5
534,23.0
535,0.0
536,24.77777777777778
537,23.0
538,17.65
539,17.0
540,21.0
541,25.0
542,21.0
543,24.488687782805428
544,25.25
545,26.5
