,woman_ratio_total
462,0.0
463,0.31756756756756754
464,0.2132701421800948
465,0.2
466,0.0
467,0.0
468,0.2708333333333333
469,0.0
470,0.23214285714285715
471,0.13793103448275862
472,0.0
473,0.16666666666666666
474,0.043478260869565216
475,0.18518518518518517
476,0.7333333333333333
477,0.0
478,0.2
479,0.0
480,0.18181818181818182
481,0.0
482,0.0
483,0.0
484,0.23809523809523808
485,0.2064516129032258
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.3333333333333333
492,0.0
493,0.5
494,0.2
495,0.0
496,0.22727272727272727
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.43636363636363634
507,0.7058823529411765
508,0.06451612903225806
509,0.0
510,0.3225806451612903
511,0.0
512,0.3649122807017544
513,0.5104166666666666
514,0.2926829268292683
515,0.0
516,0.0136986301369863
517,0.6410256410256411
518,0.14666666666666667
519,0.06666666666666667
520,0.0
521,0.25
522,0.3
523,0.0
524,0.3090909090909091
525,0.0
526,0.0
527,0.0
528,0.0
529,0.13333333333333333
530,0.1
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.65
539,0.0
540,0.0
541,0.0
542,0.0
543,0.3054298642533937
544,0.0
545,1.0
546,0.3269230769230769
547,0.45614035087719296
548,0.46153846153846156
549,0.28888888888888886
550,0.13114754098360656
551,0.3333333333333333
552,0.2222222222222222
553,0.0
554,0.12
555,0.40425531914893614
556,0.20689655172413793
557,0.05
558,0.0
559,0.08108108108108109
560,0.6666666666666666
561,0.0
562,0.0
563,0.125
564,0.0
565,0.1111111111111111
566,0.0
567,0.0
568,0.2
569,0.0
570,0.0
571,0.0
572,0.3333333333333333
573,0.16666666666666666
574,0.16666666666666666
575,0.0
576,0.0
577,0.3933933933933934
578,0.31210191082802546
579,0.95
580,0.6428571428571429
581,0.2361111111111111
582,0.22
583,0.1724137931034483
584,0.0
585,0.5471698113207547
586,0.25
587,0.06349206349206349
588,0.10294117647058823
589,0.3125
590,0.4
591,0.4186046511627907
592,0.0
593,0.30612244897959184
594,0.0
595,0.0
596,0.6447368421052632
597,0.2
598,0.0
599,0.5333333333333333
600,0.0
601,0.0
602,0.0
603,0.0
604,0.08333333333333333
605,0.0
606,0.0
607,0.0
608,0.5
609,0.0
610,0.3333333333333333
611,0.0
612,0.0
613,0.3333333333333333
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.6176470588235294
620,0.5227272727272727
621,0.4675324675324675
622,0.2
623,0.29591836734693877
624,0.11320754716981132
625,0.168141592920354
626,0.32124352331606215
627,0.7358490566037735
628,0.7647058823529411
629,0.5057471264367817
630,0.5365853658536586
631,0.25
632,0.0
633,0.0
634,0.047619047619047616
635,0.0
636,0.06896551724137931
637,0.25
638,0.25396825396825395
639,0.1724137931034483
640,0.6521739130434783
641,0.2
642,0.0
643,0.125
644,0.0
645,0.0
646,0.0
647,0.0
648,0.16666666666666666
649,0.0
650,0.0
651,0.0
652,0.47619047619047616
653,0.0
654,0.2
655,0.0
656,0.0
657,1.0
658,1.0
659,0.0
660,0.0
661,0.0
662,0.48
663,0.21052631578947367
664,0.4292929292929293
665,0.3787878787878788
666,0.6521739130434783
667,0.5714285714285714
668,0.42152466367713004
669,0.047619047619047616
670,0.15217391304347827
