,man_woman_ratio_total
874,1.064516129032258
875,3.0
876,1.125
877,10.0
878,1.35
879,0.47619047619047616
880,1.105263157894737
881,1.5
882,0.7959183673469388
883,0.46875
884,1.0
885,1.7727272727272727
886,10.0
887,10.0
888,9.0
889,0.8888888888888888
890,3.0
891,0.6666666666666666
892,0.5
893,10.0
894,0.4444444444444444
895,3.5
896,1.4285714285714286
897,6.0
898,1.0
899,0.3333333333333333
900,1.25
901,10.0
902,0.6
903,9.0
904,10.0
905,10.0
906,2.0
907,10.0
908,10.0
909,1.5
910,0.5
911,4.0
912,0.0
913,2.5
914,10.0
915,10.0
916,13.0
917,0.08333333333333333
918,0.75
919,2.0
920,2.5
921,10.0
922,0.0
923,10.0
924,0.0
925,0.0
926,4.071428571428571
927,2.0
928,1.1956521739130435
929,1.5161290322580645
930,0.4375
931,0.06896551724137931
932,0.7875
933,0.29411764705882354
934,0.7529411764705882
935,0.047619047619047616
936,0.9444444444444444
937,3.6666666666666665
938,1.6551724137931034
939,10.0
940,2.7777777777777777
941,1.0666666666666667
942,4.0
943,3.0
944,1.1428571428571428
945,0.2
946,0.8888888888888888
947,1.0
948,1.5
949,4.222222222222222
950,5.0
951,6.6
952,2.0
953,0.5
954,2.25
955,6.0
956,5.0
957,10.0
958,4.5
959,10.0
960,3.8
961,1.1428571428571428
962,0.25
963,4.0
964,10.0
965,1.0
966,1.0
967,0.75
968,0.3333333333333333
969,10.0
970,10.0
971,1.0
972,1.0
973,6.0
974,1.5
975,10.0
976,10.0
977,2.857142857142857
978,4.0
979,10.0
980,1.0
981,10.0
982,10.0
983,2.5
984,0.0
985,1.3333333333333333
986,5.0
987,0.6666666666666666
988,0.5454545454545454
989,1.3333333333333333
990,1.8
991,10.0
992,10.0
993,0.0
994,1.0
995,10.0
996,0.0
997,10.0
998,10.0
999,10.0
1000,2.4814814814814814
1001,0.6428571428571429
1002,0.7538461538461538
1003,0.25
1004,0.21428571428571427
1005,16.5
1006,0.3541666666666667
1007,0.9696969696969697
1008,1.52
1009,2.2777777777777777
1010,1.5
1011,1.6
1012,0.6842105263157895
1013,1.5
1014,4.0
1015,0.5849056603773585
1016,0.5
1017,2.75
1018,2.9375
1019,0.425
1020,1.6451612903225807
1021,0.5432098765432098
1022,4.0
1023,3.25
1024,1.8888888888888888
1025,0.5
1026,0.6
1027,10.0
1028,1.0
1029,10.0
1030,1.0
1031,3.3333333333333335
1032,0.7142857142857143
1033,0.4
1034,10.5
1035,0.5625
1036,10.0
1037,10.0
1038,1.0
1039,3.0
1040,10.0
1041,4.0
1042,1.5
1043,1.0
1044,2.0
1045,3.0
1046,10.0
1047,10.0
1048,2.0
1049,0.3333333333333333
1050,0.0
1051,0.0
1052,7.0
1053,3.5
1054,1.5
1055,10.0
1056,0.25
1057,0.7857142857142857
1058,1.4
1059,0.4
1060,2.0
1061,5.0
1062,0.0
1063,10.0
1064,10.0
1065,0.7718120805369127
1066,1.3015873015873016
1067,0.5066666666666667
1068,0.4024390243902439
1069,1.338235294117647
1070,1.206896551724138
1071,2.4285714285714284
1072,1.1666666666666667
1073,2.130434782608696
1074,1.1025641025641026
1075,0.5161290322580645
1076,0.5714285714285714
1077,6.142857142857143
1078,0.875
1079,0.8571428571428571
1080,0.875
1081,7.0
1082,4.5
1083,0.44
1084,0.1694915254237288
1085,10.0
1086,1.25
1087,1.0
1088,1.2
1089,7.0
1090,1.3333333333333333
1091,10.0
1092,1.9285714285714286
1093,0.12
1094,10.5
1095,1.5
1096,1.0769230769230769
1097,0.23076923076923078
1098,0.75
1099,9.5
1100,0.5
1101,10.0
1102,10.0
1103,3.5
1104,0.7142857142857143
1105,7.0
1106,10.0
1107,2.0
1108,0.6
1109,1.0
1110,1.0
1111,0.23076923076923078
1112,0.0
1113,10.0
1114,0.0
1115,5.0
1116,10.0
1117,1.0
1118,10.0
1119,10.0
1120,0.0
1121,0.0
1122,10.0
1123,10.0
1124,1.6666666666666667
1125,1.5
1126,0.5
1127,10.0
1128,2.0
1129,2.5
1130,0.0
1131,0.0
1132,1.0
1133,0.0
1134,10.0
1135,10.0
1136,0.0
1137,10.0
1138,0.35714285714285715
1139,0.5
1140,0.5
1141,1.0
1142,1.0
1143,10.0
1144,10.0
1145,0.0
1146,10.0
1147,10.0
1148,0.0
1149,10.0
1150,10.0
