,past_medal_avg_num
479,8.642857142857142
480,7.5
481,4.0
482,4.0
483,6.875
484,24.857142857142858
485,71.25
486,7.333333333333333
487,2.0
488,5.857142857142857
489,1.9
490,4.0
491,3.642857142857143
492,0.0
493,8.23076923076923
494,6.133333333333334
495,4.5
496,3.2
497,8.0
498,1.3333333333333333
499,1.5
500,1.0
501,7.133333333333334
502,0.0
503,2.75
504,2.0
505,8.714285714285714
506,15.75
507,1.5
508,18.333333333333332
509,3.8333333333333335
510,70.82352941176471
511,1.2
512,75.0
513,33.5
514,13.6
515,24.823529411764707
516,8.181818181818182
517,10.0
518,26.0
519,7.25
520,3.2
521,22.1875
522,8.266666666666667
523,7.076923076923077
524,7.5
525,3.857142857142857
526,16.857142857142858
527,1.2
528,2.5
529,7.071428571428571
530,24.0
531,1.75
532,3.6
533,6.75
534,1.1428571428571428
535,2.0
536,7.571428571428571
537,2.5555555555555554
538,5.875
539,1.0
540,5.0
541,0.0
542,1.0
543,78.14285714285714
544,1.25
545,0.0
546,7.230769230769231
547,3.3636363636363638
548,46.333333333333336
549,23.944444444444443
550,15.882352941176471
551,9.11111111111111
552,22.8125
553,2.0
554,9.25
555,11.333333333333334
556,21.235294117647058
557,4.571428571428571
558,7.466666666666667
559,17.625
560,6.866666666666666
561,7.9375
562,3.5
563,6.529411764705882
564,1.5
565,16.0
566,6.333333333333333
567,2.0
568,3.4375
569,1.7777777777777777
570,1.5
571,0.0
572,3.0
573,8.466666666666667
574,2.5
575,1.0
576,1.5
577,70.11111111111111
578,28.333333333333332
579,6.625
580,2.0
581,23.157894736842106
582,8.25
583,3.75
584,1.5555555555555556
585,10.0
586,6.642857142857143
587,17.176470588235293
588,20.666666666666668
589,21.941176470588236
590,7.0625
591,6.0
592,3.2
593,14.363636363636363
594,3.4705882352941178
595,2.0
596,0.0
597,7.588235294117647
598,1.0
599,6.388888888888889
600,2.0
601,0.0
602,2.5454545454545454
603,6.0
604,15.375
605,1.0
606,5.25
607,2.1666666666666665
608,1.0
609,5.0
610,2.75
611,1.0
612,1.8
613,1.3333333333333333
614,1.0
615,1.0
616,1.0
617,0.0
618,0.0
619,8.764705882352942
620,6.764705882352941
621,4.0
622,15.333333333333334
623,87.5
624,23.4
625,32.5
626,73.15789473684211
627,20.0
628,13.090909090909092
629,57.5
630,14.857142857142858
631,7.555555555555555
632,6.882352941176471
633,3.4444444444444446
634,10.461538461538462
635,2.272727272727273
636,20.63157894736842
637,16.38888888888889
638,4.615384615384615
639,17.555555555555557
640,6.266666666666667
641,7.428571428571429
642,1.7
643,21.5
644,4.888888888888889
645,15.058823529411764
646,5.636363636363637
647,3.625
648,2.6923076923076925
649,2.0
650,6.368421052631579
651,0.0
652,7.388888888888889
653,0.0
654,2.4
655,4.25
656,0.0
657,1.2857142857142858
658,0.0
659,1.0
660,1.5
661,1.1666666666666667
662,23.095238095238095
663,9.0
664,23.0
665,1.7272727272727273
666,6.0625
667,6.444444444444445
668,0.0
669,10.642857142857142
670,17.105263157894736
671,16.31578947368421
672,6.722222222222222
673,20.25
674,15.0
675,7.421052631578948
676,72.35
677,21.5
678,3.3157894736842106
679,0.0
680,6.25
681,4.6
682,0.0
683,6.611111111111111
684,2.4166666666666665
685,13.583333333333334
686,3.6666666666666665
687,1.0
688,20.68421052631579
689,3.727272727272727
