,man_ratio_total
581,0.7638888888888888
582,0.78
583,0.8275862068965517
584,1.0
585,0.4528301886792453
586,0.75
587,0.9365079365079365
588,0.8970588235294118
589,0.6875
590,0.6
591,0.5813953488372093
592,1.0
593,0.6938775510204082
594,1.0
595,1.0
596,0.35526315789473684
597,0.8
598,1.0
599,0.4666666666666667
600,1.0
601,1.0
602,1.0
603,1.0
604,0.9166666666666666
605,1.0
606,1.0
607,1.0
608,0.5
609,1.0
610,0.6666666666666666
611,1.0
612,1.0
613,0.6666666666666666
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,0.38235294117647056
620,0.4772727272727273
621,0.5324675324675324
622,0.8
623,0.7040816326530612
624,0.8867924528301887
625,0.831858407079646
626,0.6787564766839378
627,0.2641509433962264
628,0.23529411764705882
629,0.4942528735632184
630,0.4634146341463415
631,0.75
632,1.0
633,1.0
634,0.9523809523809523
635,1.0
636,0.9310344827586207
637,0.75
638,0.746031746031746
639,0.8275862068965517
640,0.34782608695652173
641,0.8
642,1.0
643,0.875
644,1.0
645,1.0
646,1.0
647,1.0
648,0.8333333333333334
649,1.0
650,1.0
651,1.0
652,0.5238095238095238
653,1.0
654,0.8
655,1.0
656,1.0
657,0.0
658,0.0
659,1.0
660,1.0
661,1.0
662,0.52
663,0.7894736842105263
664,0.5707070707070707
665,0.6212121212121212
666,0.34782608695652173
667,0.42857142857142855
668,0.57847533632287
669,0.9523809523809523
670,0.8478260869565217
671,0.7111111111111111
672,0.7272727272727273
673,0.8771929824561403
674,0.7872340425531915
675,0.5454545454545454
676,0.5491071428571429
677,0.3132530120481928
678,1.0
679,1.0
680,0.7323943661971831
681,0.8333333333333334
682,0.5
683,0.3333333333333333
684,1.0
685,0.39622641509433965
686,0.7
687,1.0
688,0.8285714285714286
689,1.0
690,0.6666666666666666
691,1.0
692,0.7058823529411765
693,0.5
694,1.0
695,0.3333333333333333
696,0.6666666666666666
697,1.0
698,1.0
699,0.5
700,0.6666666666666666
701,1.0
